                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.60438,                0.33094,                0.88974,                0.95848,                0.87466,                0.94296,                 0.7479,                 0.8708,                 0.4714,                 1.0189,             0.00014728,             0.00014728,             0.00014728
                    100,                0.59317,                 0.3264,                0.88753,                0.95738,                0.89099,                0.94511,                  0.753,                0.86613,                 0.4533,                 1.0234,             0.00014453,             0.00014453,             0.00014453
                    101,                0.59473,                0.32622,                0.88634,                0.94632,                0.88888,                0.94522,                0.74718,                0.86412,                0.46399,                 1.0208,             0.00014178,             0.00014178,             0.00014178
                    102,                0.58995,                0.32411,                0.88754,                0.95661,                0.88411,                0.94756,                0.75035,                 0.8596,                0.45345,                 1.0217,             0.00013903,             0.00013903,             0.00013903
                    103,                0.59328,                0.32591,                0.88691,                0.95592,                0.88272,                0.94383,                0.75009,                0.86124,                0.46055,                 1.0219,             0.00013628,             0.00013628,             0.00013628
                    104,                0.58025,                0.31942,                 0.8839,                0.95692,                0.88537,                0.94551,                0.75235,                0.86349,                0.45762,                 1.0238,             0.00013352,             0.00013352,             0.00013352
                    105,                0.58342,                0.31706,                0.88175,                0.94954,                0.89249,                0.94591,                 0.7507,                0.86715,                0.46389,                 1.0204,             0.00013077,             0.00013077,             0.00013077
                    106,                0.58723,                0.32034,                0.88341,                0.95724,                0.88962,                0.94777,                0.75178,                0.86887,                0.46327,                 1.0235,             0.00012802,             0.00012802,             0.00012802
                    107,                0.58161,                0.32227,                 0.8874,                0.94429,                0.89962,                0.94729,                0.75434,                0.86389,                0.45454,                 1.0261,             0.00012527,             0.00012527,             0.00012527
                    108,                0.58076,                0.31898,                0.88138,                0.94854,                0.88642,                0.94655,                0.74947,                0.86495,                0.44832,                 1.0264,             0.00012251,             0.00012251,             0.00012251
                    109,                0.57375,                0.31786,                0.88259,                 0.9592,                0.88186,                0.94651,                0.75464,                0.86593,                0.46292,                 1.0246,             0.00011976,             0.00011976,             0.00011976
                    110,                0.57269,                0.31657,                 0.8766,                 0.9493,                0.89511,                0.94866,                0.75589,                0.86036,                0.44968,                  1.017,             0.00011701,             0.00011701,             0.00011701
                    111,                0.56736,                0.31113,                0.87836,                0.94896,                0.87549,                0.94246,                0.75709,                0.86294,                0.45941,                 1.0224,             0.00011426,             0.00011426,             0.00011426
                    112,                0.56626,                0.31267,                 0.8778,                0.94625,                0.89219,                0.94445,                0.75172,                0.86582,                0.45491,                 1.0276,             0.00011151,             0.00011151,             0.00011151
                    113,                0.56177,                0.31082,                  0.877,                0.95006,                0.88983,                0.94551,                0.75528,                0.86236,                0.45374,                  1.028,             0.00010875,             0.00010875,             0.00010875
                    114,                0.55808,                0.31021,                0.87662,                0.96079,                0.88267,                0.94636,                0.75232,                0.86345,                0.45375,                 1.0261,               0.000106,               0.000106,               0.000106
                    115,                0.56225,                0.30974,                0.87845,                0.95522,                0.88777,                0.94474,                 0.7522,                0.86129,                0.45518,                 1.0292,             0.00010325,             0.00010325,             0.00010325
                    116,                0.54943,                 0.3029,                  0.871,                0.96584,                0.87436,                 0.9467,                0.75613,                0.86189,                0.45508,                 1.0199,              0.0001005,              0.0001005,              0.0001005
                    117,                0.55067,                0.30445,                0.87033,                0.95988,                0.88671,                0.94655,                0.75678,                0.86652,                0.45484,                 1.0269,             9.7745e-05,             9.7745e-05,             9.7745e-05
                    118,                0.55349,                0.30799,                0.87363,                0.95474,                 0.8965,                0.94794,                0.75629,                0.86293,                0.44578,                 1.0254,             9.4993e-05,             9.4993e-05,             9.4993e-05
                    119,                  0.552,                0.30782,                0.87298,                0.95732,                0.87856,                 0.9472,                0.75863,                0.85756,                0.45227,                 1.0227,              9.224e-05,              9.224e-05,              9.224e-05
                    120,                0.54829,                0.30252,                0.86861,                0.95728,                 0.8853,                0.94918,                0.75751,                 0.8605,                  0.448,                 1.0247,             8.9488e-05,             8.9488e-05,             8.9488e-05
                    121,                0.54711,                0.30467,                0.87058,                0.96508,                0.88355,                0.94828,                0.76118,                0.85697,                0.45016,                 1.0281,             8.6736e-05,             8.6736e-05,             8.6736e-05
                    122,                0.54128,                0.30169,                0.87245,                0.95323,                0.89703,                0.94925,                0.75817,                0.85655,                0.44678,                 1.0274,             8.3984e-05,             8.3984e-05,             8.3984e-05
                    123,                0.54146,                0.30144,                0.87054,                0.95105,                0.89777,                0.94904,                0.76089,                0.85949,                0.44937,                 1.0297,             8.1232e-05,             8.1232e-05,             8.1232e-05
                    124,                0.53383,                0.29732,                0.86877,                 0.9334,                0.90452,                0.94773,                0.75616,                0.86251,                0.45473,                 1.0337,             7.8479e-05,             7.8479e-05,             7.8479e-05
                    125,                0.53534,                0.29732,                0.86944,                0.94814,                0.89668,                0.94916,                0.75742,                0.85676,                0.45254,                 1.0304,             7.5727e-05,             7.5727e-05,             7.5727e-05
                    126,                0.53297,                0.29842,                 0.8679,                0.95826,                0.88366,                 0.9479,                0.75335,                0.86148,                0.46032,                 1.0308,             7.2975e-05,             7.2975e-05,             7.2975e-05
                    127,                0.52941,                 0.2965,                0.86481,                 0.9531,                0.88927,                0.94911,                0.75954,                0.85495,                0.44292,                 1.0289,             7.0223e-05,             7.0223e-05,             7.0223e-05
                    128,                0.52279,                 0.2916,                0.86404,                0.96531,                0.89341,                0.94948,                0.76092,                0.85702,                0.44085,                  1.029,             6.7471e-05,             6.7471e-05,             6.7471e-05
                    129,                  0.531,                0.29643,                0.86707,                0.96641,                0.89221,                 0.9504,                0.76012,                0.86243,                0.44304,                 1.0342,             6.4718e-05,             6.4718e-05,             6.4718e-05
                    130,                0.51724,                0.28793,                0.86138,                0.95066,                0.89453,                0.94928,                0.75811,                0.86146,                0.44334,                 1.0346,             6.1966e-05,             6.1966e-05,             6.1966e-05
                    131,                0.52115,                0.28976,                0.86531,                0.94961,                0.89266,                 0.9486,                0.75923,                0.85724,                0.44284,                 1.0318,             5.9214e-05,             5.9214e-05,             5.9214e-05
                    132,                0.51633,                0.28771,                0.86141,                0.96165,                0.88813,                 0.9504,                0.75914,                0.85885,                0.44305,                 1.0352,             5.6462e-05,             5.6462e-05,             5.6462e-05
                    133,                0.51767,                0.28945,                0.86184,                0.95157,                0.89509,                0.95042,                 0.7589,                0.85934,                0.44413,                 1.0344,              5.371e-05,              5.371e-05,              5.371e-05
                    134,                0.50925,                 0.2838,                0.85857,                0.96456,                0.88706,                0.95051,                0.76004,                0.85469,                0.44491,                   1.03,             5.0957e-05,             5.0957e-05,             5.0957e-05
                    135,                0.51392,                0.28732,                0.86368,                0.95422,                0.88992,                0.94937,                0.75972,                0.85543,                0.44445,                 1.0331,             4.8205e-05,             4.8205e-05,             4.8205e-05
                    136,                 0.5086,                 0.2859,                 0.8608,                0.96026,                0.89282,                0.95063,                0.76047,                0.85752,                0.44288,                 1.0346,             4.5453e-05,             4.5453e-05,             4.5453e-05
                    137,                 0.5133,                0.28679,                0.86178,                0.97158,                0.88084,                0.95181,                0.76142,                0.85362,                0.44284,                 1.0319,             4.2701e-05,             4.2701e-05,             4.2701e-05
                    138,                0.50946,                0.28558,                0.86196,                0.95689,                0.89492,                0.95138,                0.76246,                0.85358,                0.43957,                 1.0319,             3.9949e-05,             3.9949e-05,             3.9949e-05
                    139,                0.51203,                0.28823,                0.86191,                0.94487,                0.90447,                0.95088,                0.76117,                 0.8542,                0.44314,                 1.0339,             3.7196e-05,             3.7196e-05,             3.7196e-05
                    140,                 0.4985,                0.27897,                0.85694,                0.95708,                0.89704,                0.95148,                0.76074,                0.84984,                0.43782,                 1.0323,             3.4444e-05,             3.4444e-05,             3.4444e-05
                    141,                0.45886,                0.23517,                0.83234,                0.95454,                0.89099,                0.94633,                0.75777,                0.86123,                0.45188,                 1.0491,             3.1692e-05,             3.1692e-05,             3.1692e-05
                    142,                0.43021,                0.21896,                0.82263,                0.93948,                0.90231,                0.94774,                0.75882,                0.85834,                0.44733,                 1.0474,              2.894e-05,              2.894e-05,              2.894e-05
                    143,                 0.4263,                0.21703,                 0.8216,                0.94977,                0.89558,                0.94772,                 0.7564,                0.85474,                0.44641,                  1.043,             2.6188e-05,             2.6188e-05,             2.6188e-05
                    144,                  0.412,                0.21043,                0.81719,                0.95899,                 0.8914,                0.94851,                0.75805,                0.85161,                0.44372,                 1.0388,             2.3435e-05,             2.3435e-05,             2.3435e-05
                    145,                0.40712,                0.20777,                0.81557,                0.95736,                0.89301,                0.94886,                0.75974,                0.85146,                0.44221,                 1.0374,             2.0683e-05,             2.0683e-05,             2.0683e-05
                    146,                0.40376,                0.20831,                0.81442,                0.95747,                0.89505,                0.94903,                0.76072,                 0.8505,                0.44185,                 1.0377,             1.7931e-05,             1.7931e-05,             1.7931e-05
                    147,                0.40612,                0.20898,                0.81481,                0.95863,                0.89335,                0.94953,                0.75999,                0.84869,                0.44016,                 1.0373,             1.5179e-05,             1.5179e-05,             1.5179e-05
                    148,                0.39947,                0.20643,                0.81309,                0.95885,                0.89394,                 0.9497,                0.75855,                0.84788,                0.43946,                 1.0391,             1.2427e-05,             1.2427e-05,             1.2427e-05
                    149,                0.40033,                0.20764,                0.81347,                 0.9602,                0.89001,                0.94946,                0.75931,                0.84952,                0.44045,                 1.0427,             9.6744e-06,             9.6744e-06,             9.6744e-06
                    150,                0.40178,                0.20887,                0.81713,                0.96109,                0.88902,                0.94953,                0.75936,                0.84957,                0.43926,                  1.042,             6.9222e-06,             6.9222e-06,             6.9222e-06
